table with row headers in column A and column headers in rows 5 and 6. Leading dots indicate subparts.,,,,,,,
Table 1. Population by Age and Sex: 2009,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population1),,,,,,,
,,,,,,,
Age,Both sexes,,Male,,Female,,
,Number,Percent,Number,Percent,Number,Percent,
All ages,"301,483",100.0,"148,094",100.0,"153,388",100.0,
   .Under 5 years,"21,187",7.0,"10,842",7.3,"10,345",6.7,
   .5 to 9 years,"20,245",6.7,"10,351",7.0,"9,894",6.5,
   .10 to 14 years,"19,907",6.6,"10,181",6.9,"9,726",6.3,
   .15 to 19 years,"21,227",7.0,"10,782",7.3,"10,445",6.8,
   .20 to 24 years,"20,632",6.8,"10,420",7.0,"10,212",6.7,
   .25 to 29 years,"21,256",7.1,"10,867",7.3,"10,389",6.8,
   .30 to 34 years,"19,264",6.4,"9,574",6.5,"9,691",6.3,
   .35 to 39 years,"20,445",6.8,"10,169",6.9,"10,275",6.7,
   .40 to 44 years,"20,877",6.9,"10,322",7.0,"10,556",6.9,
   .45 to 49 years,"22,712",7.5,"11,162",7.5,"11,550",7.5,
   .50 to 54 years,"21,654",7.2,"10,611",7.2,"11,043",7.2,
   .55 to 59 years,"18,755",6.2,"9,083",6.1,"9,671",6.3,
   .60 to 64 years,"15,534",5.2,"7,423",5.0,"8,112",5.3,
   .65 to 69 years,"11,825",3.9,"5,632",3.8,"6,193",4.0,
   .70 to 74 years,"8,579",2.8,"3,769",2.5,"4,810",3.1,
   .75 to 79 years,"7,329",2.4,"3,167",2.1,"4,162",2.7,
   .80 to 84 years,"5,676",1.9,"2,248",1.5,"3,428",2.2,
   .85 years and over,"4,378",1.5,"1,492",1.0,"2,886",1.9,
, , , , , , ,
   .Under 15 years,"61,339",20.3,"31,374",21.2,"29,964",19.5,
   .15 to 17 years,"13,171",4.4,"6,694",4.5,"6,477",4.2,
   .18 to 20 years,"12,110",4.0,"6,233",4.2,"5,877",3.8,
   .21 to 44 years,"98,420",32.6,"49,207",33.2,"49,214",32.1,
   .45 to 64 years,"78,655",26.1,"38,279",25.8,"40,377",26.3,
   .65 years and over,"37,788",12.5,"16,308",11.0,"21,480",14.0,
,,,,,,,
Median age,36.7,(X),35.5,(X),37.9,(X),
Footnotes:,,,,,,,
(X) Not applicable.,,,,,,,
,,,,,,,
1Plus armed forces living off post or with their families on post.,,,,,,,
,,,,,,,
"SOURCE: U.S. Census Bureau, Current Population Survey, Annual Social and Economic Supplement, 2009.",,,,,,,
Internet release date: December 2010,,,,,,,
