table with row headers in column A and column headers in rows 5 and 6. Leading dots indicate subparts.,,,,,,,
Table 1. Population by Age and Sex: 2010,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population1),,,,,,,
,,,,,,,
Age,Both sexes,,Male,,Female,,
,Number,Percent,Number,Percent,Number,Percent,
All ages,"304,280",100.0,"149,485",100.0,"154,795",100.0,
   .Under 5 years,"21,434",7.0,"10,955",7.3,"10,479",6.8,
   .5 to 9 years,"20,785",6.8,"10,624",7.1,"10,162",6.6,
   .10 to 14 years,"19,893",6.5,"10,178",6.8,"9,714",6.3,
   .15 to 19 years,"21,086",6.9,"10,719",7.2,"10,367",6.7,
   .20 to 24 years,"21,154",7.0,"10,684",7.1,"10,470",6.8,
   .25 to 29 years,"21,453",7.1,"10,928",7.3,"10,525",6.8,
   .30 to 34 years,"19,632",6.5,"9,761",6.5,"9,871",6.4,
   .35 to 39 years,"19,888",6.5,"9,902",6.6,"9,986",6.5,
   .40 to 44 years,"20,559",6.8,"10,172",6.8,"10,387",6.7,
   .45 to 49 years,"22,527",7.4,"11,092",7.4,"11,435",7.4,
   .50 to 54 years,"21,860",7.2,"10,692",7.2,"11,169",7.2,
   .55 to 59 years,"19,172",6.3,"9,318",6.2,"9,854",6.4,
   .60 to 64 years,"16,223",5.3,"7,667",5.1,"8,556",5.5,
   .65 to 69 years,"12,020",4.0,"5,672",3.8,"6,349",4.1,
   .70 to 74 years,"8,936",2.9,"4,063",2.7,"4,873",3.1,
   .75 to 79 years,"7,181",2.4,"3,020",2.0,"4,161",2.7,
   .80 to 84 years,"5,783",1.9,"2,408",1.6,"3,375",2.2,
   .85 years and over,"4,693",1.5,"1,631",1.1,"3,062",2.0,
, , , , , , ,
   .Under 15 years,"62,112",20.4,"31,757",21.2,"30,355",19.6,
   .15 to 17 years,"12,928",4.2,"6,566",4.4,"6,361",4.1,
   .18 to 20 years,"12,542",4.1,"6,365",4.3,"6,177",4.0,
   .21 to 44 years,"98,303",32.3,"49,236",32.9,"49,068",31.7,
   .45 to 64 years,"79,782",26.2,"38,768",25.9,"41,014",26.5,
   .65 years and over,"38,613",12.7,"16,793",11.2,"21,820",14.1,
,,,,,,,
Median age,36.7,(X),35.5,(X),37.9,(X),
Footnotes:,,,,,,,
(X) Not applicable.,,,,,,,
,,,,,,,
1Plus armed forces living off post or with their families on post.,,,,,,,
,,,,,,,
"SOURCE: U.S. Census Bureau, Current Population Survey, Annual Social and Economic Supplement, 2010.",,,,,,,
Internet release date: June 2011,,,,,,,
