MDCR ENROLL AB 23,,,,,,,,,
"Medicare Newly Enrolled Beneficiaries:  Total Enrollees, by Demographic Characteristics, ",,,,,,,,,
Calendar Year 2015 ,,,,,,,,,
Demographic Characteristic,Part A and/or Part B,Part A and Part B,Part A,Part B,,,,,
,,,,,,,,,
Total,"3,684,893","2,558,326","3,614,802","2,628,417",,,,,
,  ,  ,  ,  ,,,,,
Age,  ,  ,  ,  ,,,,,
Under 65 Years,"735,978","612,250","735,338","612,890",,,,,
65 Years and Over,"2,948,915","1,946,076","2,879,464","2,015,527",,,,,
,  ,  ,  ,  ,,,,,
Under 18 Years,410,357,410,357,,,,,
18-24 Years,"31,026","28,364","31,011","28,379",,,,,
25-34 Years,"53,180","46,526","53,156","46,550",,,,,
35-44 Years,"76,553","62,117","76,511","62,159",,,,,
45-54 Years,"179,597","144,552","179,536","144,613",,,,,
55-64 Years,"395,212","330,334","394,714","330,832",,,,,
65-74 Years,"2,932,322","1,943,969","2,873,001","2,003,290",,,,,
75-84 Years,"14,241","1,758","5,785","10,214",,,,,
85-94 Years,"2,218",324,645,"1,897",,,,,
95 Years and Over,134,25,33,126,,,,,
,  ,  ,  ,  ,,,,,
Sex,  ,  ,  ,  ,,,,,
Male,"1,766,731","1,175,709","1,740,589","1,201,851",,,,,
Female,"1,918,162","1,382,617","1,874,213","1,426,566",,,,,
,  ,  ,  ,  ,,,,,
Race,  ,  ,  ,  ,,,,,
Non-Hispanic White,"2,571,232","1,810,447","2,552,133","1,829,546",,,,,
Black (or African-American),"410,290","300,515","399,314","311,491",,,,,
Asian/Pacific Islander,"150,800","85,431","135,783","100,448",,,,,
Hispanic,"371,210","248,650","354,024","265,836",,,,,
American Indian/Alaska Native,"17,145","11,784","16,732","12,197",,,,,
Other,"25,529","15,027","25,121","15,435",,,,,
Unknown,"138,687","86,472","131,695","93,464",,,,,
,,,,,,,,,
NOTE:  The enrollment counts are determined using an ever-enrolled methodology.,,,,,,,,,
,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of Enterprise Data and Analytics, CMS Chronic Conditions Data Warehouse.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
