table with row headers in column A and column headers in rows 5 and 6. Leading dots indicate subparts.,,,,,,,
Table 1. Population by Age and Sex: 2018,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,
,,,,,,,
Age,Both sexes,,Male,,Female,,
,Number,Percent,Number,Percent,Number,Percent,
All ages,"323,156",100.0,"158,426",100.0,"164,730",100.0,
   .Under 5 years,"19,929",6.2,"10,193",6.4,"9,736",5.9,
   .5 to 9 years,"20,243",6.3,"10,338",6.5,"9,905",6.0,
   .10 to 14 years,"20,812",6.4,"10,607",6.7,"10,204",6.2,
   .15 to 19 years,"20,908",6.5,"10,617",6.7,"10,291",6.2,
   .20 to 24 years,"21,434",6.6,"10,809",6.8,"10,625",6.4,
   .25 to 29 years,"23,160",7.2,"11,674",7.4,"11,486",7.0,
   .30 to 34 years,"21,695",6.7,"10,816",6.8,"10,878",6.6,
   .35 to 39 years,"21,269",6.6,"10,567",6.7,"10,701",6.5,
   .40 to 44 years,"19,391",6.0,"9,504",6.0,"9,887",6.0,
   .45 to 49 years,"20,638",6.4,"10,123",6.4,"10,515",6.4,
   .50 to 54 years,"20,899",6.5,"10,217",6.4,"10,682",6.5,
   .55 to 59 years,"21,622",6.7,"10,503",6.6,"11,120",6.8,
   .60 to 64 years,"20,078",6.2,"9,399",5.9,"10,679",6.5,
   .65 to 69 years,"17,007",5.3,"8,047",5.1,"8,961",5.4,
   .70 to 74 years,"13,359",4.1,"6,294",4.0,"7,066",4.3,
   .75 to 79 years,"8,912",2.8,"3,944",2.5,"4,968",3.0,
   .80 to 84 years,"5,647",1.7,"2,506",1.6,"3,141",1.9,
   .85 years and over,"6,154",1.9,"2,270",1.4,"3,885",2.4,
,        ,        ,        ,        ,        ,        ,
   .Under 15 years,"60,984",18.9,"31,138",19.7,"29,846",18.1,
   .15 to 17 years,"12,979",4.0,"6,582",4.2,"6,397",3.9,
   .18 to 20 years,"12,243",3.8,"6,248",3.9,"5,996",3.6,
   .21 to 44 years,"102,633",31.8,"51,157",32.3,"51,476",31.2,
   .45 to 64 years,"83,237",25.8,"40,242",25.4,"42,995",26.1,
   .65 years and over,"51,080",15.8,"23,059",14.6,"28,021",17.0,
,,,,,,,
Median age,38.1,(X)      ,37.0,(X)      ,39.3,(X)      ,
Footnotes:,,,,,,,
,,,,,,,
1Plus armed forces living off post or with their families on post.,,,,,,,
,,,,,,,
Note: Details may not sum to totals because of rounding.,,,,,,,
,,,,,,,
"SOURCE: U.S. Census Bureau, Current Population Survey, Annual Social and Economic Supplement, 2018.",,,,,,,
Internet release date: August 2019,,,,,,,
