MDCR ENROLL AB 24,,,,,,,,,,,,,
"Medicare Newly Enrolled Beneficiaries:  Total, Aged, and Disabled Enrollees, by Area of Residence, ",,,,,,,,,,,,,
Calendar Year 2019 ,,,,,,,,,,,,,
Area of Residence,Part A and/or Part B Total,Part A and/or Part B Aged,Part A and/or Part B Disabled,Part A and Part B Total,Part A and Part B Aged,Part A and Part B Disabled,Part A Total,Part A Aged,Part A Disabled,Part B Total,Part B Aged,Part B Disabled,
,,,,,,,,,,,,,
All Areas,"3,844,547","3,258,338","586,209","2,605,121","2,097,079","508,042","3,764,626","3,179,188","585,438","2,685,042","2,176,229","508,813",
United States,"3,787,304","3,208,541","578,763","2,582,757","2,078,808","503,949","3,707,532","3,129,536","577,996","2,662,529","2,157,813","504,716",
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
Alabama,"59,821","46,012","13,809","44,011","31,790","12,221","59,025","45,228","13,797","44,807","32,574","12,233",
Alaska,"8,402","7,454",948,"5,548","4,697",851,"8,329","7,382",947,"5,621","4,769",852,
Arizona,"77,846","68,371","9,475","55,489","47,337","8,152","76,621","67,157","9,464","56,714","48,551","8,163",
Arkansas,"35,167","26,712","8,455","26,125","18,683","7,442","34,754","26,306","8,448","26,538","19,089","7,449",
California,"410,361","365,266","45,095","269,011","230,460","38,551","392,067","347,132","44,935","287,305","248,594","38,711",
Colorado,"62,093","55,648","6,445","42,631","36,893","5,738","61,129","54,692","6,437","43,595","37,849","5,746",
Connecticut,"43,017","37,544","5,473","26,074","21,443","4,631","42,748","37,279","5,469","26,343","21,708","4,635",
Delaware,"12,726","10,816","1,910","9,039","7,375","1,664","12,578","10,668","1,910","9,187","7,523","1,664",
District of Columbia,"5,805","4,787","1,018","3,242","2,319",923,"5,503","4,487","1,016","3,544","2,619",925,
Florida,"265,533","227,264","38,269","191,951","158,176","33,775","258,486","220,246","38,240","198,998","165,194","33,804",
Georgia,"111,265","90,991","20,274","79,506","61,778","17,728","109,105","88,866","20,239","81,666","63,903","17,763",
Hawaii,"17,537","16,008","1,529","10,246","8,973","1,273","17,273","15,744","1,529","10,510","9,237","1,273",
Idaho,"21,105","17,988","3,117","15,591","12,875","2,716","21,082","17,967","3,115","15,614","12,896","2,718",
Illinois,"142,700","122,396","20,304","95,089","78,027","17,062","142,007","121,718","20,289","95,782","78,705","17,077",
Indiana,"78,611","65,022","13,589","54,983","43,208","11,775","78,293","64,714","13,579","55,301","43,516","11,785",
Iowa,"39,408","33,635","5,773","27,406","22,399","5,007","39,266","33,503","5,763","27,548","22,531","5,017",
Kansas,"34,167","29,132","5,035","23,228","18,834","4,394","34,055","29,025","5,030","23,340","18,941","4,399",
Kentucky,"54,348","42,071","12,277","40,025","29,287","10,738","52,932","40,677","12,255","41,441","30,681","10,760",
Louisiana,"56,938","44,258","12,680","41,156","29,806","11,350","55,701","43,031","12,670","42,393","31,033","11,360",
Maine,"20,317","17,391","2,926","13,848","11,278","2,570","19,804","16,886","2,918","14,361","11,783","2,578",
Maryland,"69,090","59,339","9,751","41,110","32,738","8,372","68,316","58,568","9,748","41,884","33,509","8,375",
Massachusetts,"81,618","69,817","11,801","46,975","36,746","10,229","78,834","67,067","11,767","49,759","39,496","10,263",
Michigan,"127,331","104,704","22,627","95,016","75,035","19,981","126,220","103,605","22,615","96,127","76,134","19,993",
Minnesota,"65,893","57,704","8,189","43,456","36,619","6,837","64,996","56,821","8,175","44,353","37,502","6,851",
Mississippi,"35,541","27,359","8,182","26,582","19,021","7,561","34,869","26,695","8,174","27,254","19,685","7,569",
Missouri,"72,686","59,191","13,495","52,695","40,730","11,965","72,446","58,962","13,484","52,935","40,959","11,976",
Montana,"15,063","13,131","1,932","11,115","9,418","1,697","14,920","12,990","1,930","11,258","9,559","1,699",
Nebraska,"22,311","19,297","3,014","14,661","12,057","2,604","22,277","19,264","3,013","14,695","12,090","2,605",
Nevada,"34,338","30,133","4,205","23,174","19,637","3,537","33,297","29,095","4,202","24,215","20,675","3,540",
New Hampshire,"19,376","16,387","2,989","12,273","9,787","2,486","19,344","16,356","2,988","12,305","9,818","2,487",
New Jersey,"103,296","89,865","13,431","62,183","50,953","11,230","100,876","87,462","13,414","64,603","53,356","11,247",
New Mexico,"25,926","21,812","4,114","18,866","15,130","3,736","25,458","21,351","4,107","19,334","15,591","3,743",
New York,"232,525","198,760","33,765","141,120","112,637","28,483","215,509","181,824","33,685","158,136","129,573","28,563",
North Carolina,"118,813","98,505","20,308","87,987","70,188","17,799","117,398","97,110","20,288","89,402","71,583","17,819",
North Dakota,"9,135","7,963","1,172","6,080","5,067","1,013","8,970","7,798","1,172","6,245","5,232","1,013",
Ohio,"146,287","121,563","24,724","101,394","79,904","21,490","145,139","120,433","24,706","102,542","81,034","21,508",
Oklahoma,"45,982","36,769","9,213","31,907","23,863","8,044","45,733","36,524","9,209","32,156","24,108","8,048",
Oregon,"53,456","46,398","7,058","37,657","31,486","6,171","52,672","45,621","7,051","38,441","32,263","6,178",
Pennsylvania,"166,063","139,410","26,653","109,098","85,806","23,292","162,756","136,144","26,612","112,405","89,072","23,333",
Rhode Island,"13,602","11,272","2,330","8,184","6,225","1,959","13,311","10,986","2,325","8,475","6,511","1,964",
South Carolina,"64,090","52,164","11,926","48,270","37,650","10,620","63,541","51,623","11,918","48,819","38,191","10,628",
South Dakota,"11,449","10,064","1,385","8,038","6,833","1,205","11,350","9,966","1,384","8,137","6,931","1,206",
Tennessee,"81,327","65,842","15,485","58,771","45,058","13,713","80,702","65,234","15,468","59,396","45,666","13,730",
Texas,"284,308","240,741","43,567","196,194","157,502","38,692","280,295","236,777","43,518","200,207","161,466","38,741",
Utah,"26,976","23,693","3,283","17,407","14,598","2,809","26,681","23,406","3,275","17,702","14,885","2,817",
Vermont,"9,423","8,075","1,348","6,317","5,139","1,178","9,385","8,038","1,347","6,355","5,176","1,179",
Virginia,"96,940","81,701","15,239","64,734","51,537","13,197","96,243","81,018","15,225","65,431","52,220","13,211",
Washington,"89,260","77,652","11,608","58,315","48,177","10,138","87,583","75,994","11,589","59,992","49,835","10,157",
West Virginia,"24,428","18,886","5,542","18,521","13,581","4,940","24,312","18,775","5,537","18,637","13,692","4,945",
Wisconsin,"75,698","64,730","10,968","54,717","45,248","9,469","75,476","64,514","10,962","54,939","45,464","9,475",
Wyoming,"7,906","6,848","1,058","5,741","4,800",941,"7,865","6,807","1,058","5,782","4,841",941,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
"Territories, Possessions, and Other",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
Puerto Rico,"30,873","24,463","6,410","19,135","15,559","3,576","30,821","24,415","6,406","19,187","15,607","3,580",
Virgin Islands,"1,170","1,053",117,775,669,106,"1,099",982,117,846,740,106,
American Samoa,342,212,130,222,125,97,342,212,130,222,125,97,
Guam,"1,430","1,195",235,736,535,201,"1,420","1,185",235,746,545,201,
Northern Mariana Islands,280,228,52,176,127,49,279,227,52,177,128,49,
Foreign Countries and Other Outyling Areas,"23,126","22,624",502,"1,309","1,245",64,"23,112","22,610",502,"1,323","1,259",64,
Unknown,22,22,0,11,11,0,21,21,0,12,12,0,
,,,,,,,,,,,,,
NOTE:  The enrollment counts are determined using an ever-enrolled methodology.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of Enterprise Data and Analytics, CMS Chronic Conditions Data Warehouse.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
